ID,name,tactics
T1548,Abuse Elevation Control Mechanism,"Defense Evasion, Privilege Escalation"
T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,"Defense Evasion, Privilege Escalation"
T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,"Defense Evasion, Privilege Escalation"
T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,"Defense Evasion, Privilege Escalation"
T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,"Defense Evasion, Privilege Escalation"
T1134,Access Token Manipulation,"Defense Evasion, Privilege Escalation"
T1134.002,Access Token Manipulation: Create Process with Token,"Defense Evasion, Privilege Escalation"
T1134.003,Access Token Manipulation: Make and Impersonate Token,"Defense Evasion, Privilege Escalation"
T1134.004,Access Token Manipulation: Parent PID Spoofing,"Defense Evasion, Privilege Escalation"
T1134.005,Access Token Manipulation: SID-History Injection,"Defense Evasion, Privilege Escalation"
T1134.001,Access Token Manipulation: Token Impersonation/Theft,"Defense Evasion, Privilege Escalation"
T1531,Account Access Removal,Impact
T1087,Account Discovery,Discovery
T1087.004,Account Discovery: Cloud Account,Discovery
T1087.002,Account Discovery: Domain Account,Discovery
T1087.003,Account Discovery: Email Account,Discovery
T1087.001,Account Discovery: Local Account,Discovery
T1098,Account Manipulation,Persistence
T1098.001,Account Manipulation: Additional Cloud Credentials,Persistence
T1098.003,Account Manipulation: Additional Cloud Roles,Persistence
T1098.002,Account Manipulation: Additional Email Delegate Permissions,Persistence
T1098.005,Account Manipulation: Device Registration,Persistence
T1098.004,Account Manipulation: SSH Authorized Keys,Persistence
T1650,Acquire Access,Resource Development
T1583,Acquire Infrastructure,Resource Development
T1583.005,Acquire Infrastructure: Botnet,Resource Development
T1583.002,Acquire Infrastructure: DNS Server,Resource Development
T1583.001,Acquire Infrastructure: Domains,Resource Development
T1583.008,Acquire Infrastructure: Malvertising,Resource Development
T1583.004,Acquire Infrastructure: Server,Resource Development
T1583.007,Acquire Infrastructure: Serverless,Resource Development
T1583.003,Acquire Infrastructure: Virtual Private Server,Resource Development
T1583.006,Acquire Infrastructure: Web Services,Resource Development
T1595,Active Scanning,Reconnaissance
T1595.001,Active Scanning: Scanning IP Blocks,Reconnaissance
T1595.002,Active Scanning: Vulnerability Scanning,Reconnaissance
T1595.003,Active Scanning: Wordlist Scanning,Reconnaissance
T1557,Adversary-in-the-Middle,"Collection, Credential Access"
T1557.002,Adversary-in-the-Middle: ARP Cache Poisoning,"Collection, Credential Access"
T1557.003,Adversary-in-the-Middle: DHCP Spoofing,"Collection, Credential Access"
T1557.001,Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay,"Collection, Credential Access"
T1071,Application Layer Protocol,Command and Control
T1071.004,Application Layer Protocol: DNS,Command and Control
T1071.002,Application Layer Protocol: File Transfer Protocols,Command and Control
T1071.003,Application Layer Protocol: Mail Protocols,Command and Control
T1071.001,Application Layer Protocol: Web Protocols,Command and Control
T1010,Application Window Discovery,Discovery
T1560,Archive Collected Data,Collection
T1560.003,Archive Collected Data: Archive via Custom Method,Collection
T1560.002,Archive Collected Data: Archive via Library,Collection
T1560.001,Archive Collected Data: Archive via Utility,Collection
T1123,Audio Capture,Collection
T1119,Automated Collection,Collection
T1020,Automated Exfiltration,Exfiltration
T1020.001,Automated Exfiltration: Traffic Duplication,Exfiltration
T1197,BITS Jobs,"Defense Evasion, Persistence"
T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation"
T1547.014,Boot or Logon Autostart Execution: Active Setup,"Persistence, Privilege Escalation"
T1547.002,Boot or Logon Autostart Execution: Authentication Package,"Persistence, Privilege Escalation"
T1547.006,Boot or Logon Autostart Execution: Kernel Modules and Extensions,"Persistence, Privilege Escalation"
T1547.008,Boot or Logon Autostart Execution: LSASS Driver,"Persistence, Privilege Escalation"
T1547.015,Boot or Logon Autostart Execution: Login Items,"Persistence, Privilege Escalation"
T1547.010,Boot or Logon Autostart Execution: Port Monitors,"Persistence, Privilege Escalation"
T1547.012,Boot or Logon Autostart Execution: Print Processors,"Persistence, Privilege Escalation"
T1547.007,Boot or Logon Autostart Execution: Re-opened Applications,"Persistence, Privilege Escalation"
T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,"Persistence, Privilege Escalation"
T1547.005,Boot or Logon Autostart Execution: Security Support Provider,"Persistence, Privilege Escalation"
T1547.009,Boot or Logon Autostart Execution: Shortcut Modification,"Persistence, Privilege Escalation"
T1547.003,Boot or Logon Autostart Execution: Time Providers,"Persistence, Privilege Escalation"
T1547.004,Boot or Logon Autostart Execution: Winlogon Helper DLL,"Persistence, Privilege Escalation"
T1547.013,Boot or Logon Autostart Execution: XDG Autostart Entries,"Persistence, Privilege Escalation"
T1037,Boot or Logon Initialization Scripts,"Persistence, Privilege Escalation"
T1037.002,Boot or Logon Initialization Scripts: Login Hook,"Persistence, Privilege Escalation"
T1037.001,Boot or Logon Initialization Scripts: Logon Script (Windows),"Persistence, Privilege Escalation"
T1037.003,Boot or Logon Initialization Scripts: Network Logon Script,"Persistence, Privilege Escalation"
T1037.004,Boot or Logon Initialization Scripts: RC Scripts,"Persistence, Privilege Escalation"
T1037.005,Boot or Logon Initialization Scripts: Startup Items,"Persistence, Privilege Escalation"
T1176,Browser Extensions,Persistence
T1217,Browser Information Discovery,Discovery
T1185,Browser Session Hijacking,Collection
T1110,Brute Force,Credential Access
T1110.004,Brute Force: Credential Stuffing,Credential Access
T1110.002,Brute Force: Password Cracking,Credential Access
T1110.001,Brute Force: Password Guessing,Credential Access
T1110.003,Brute Force: Password Spraying,Credential Access
T1612,Build Image on Host,Defense Evasion
T1115,Clipboard Data,Collection
T1651,Cloud Administration Command,Execution
T1580,Cloud Infrastructure Discovery,Discovery
T1538,Cloud Service Dashboard,Discovery
T1526,Cloud Service Discovery,Discovery
T1619,Cloud Storage Object Discovery,Discovery
T1059,Command and Scripting Interpreter,Execution
T1059.002,Command and Scripting Interpreter: AppleScript,Execution
T1059.009,Command and Scripting Interpreter: Cloud API,Execution
T1059.007,Command and Scripting Interpreter: JavaScript,Execution
T1059.008,Command and Scripting Interpreter: Network Device CLI,Execution
T1059.001,Command and Scripting Interpreter: PowerShell,Execution
T1059.006,Command and Scripting Interpreter: Python,Execution
T1059.004,Command and Scripting Interpreter: Unix Shell,Execution
T1059.005,Command and Scripting Interpreter: Visual Basic,Execution
T1059.003,Command and Scripting Interpreter: Windows Command Shell,Execution
T1092,Communication Through Removable Media,Command and Control
T1586,Compromise Accounts,Resource Development
T1586.003,Compromise Accounts: Cloud Accounts,Resource Development
T1586.002,Compromise Accounts: Email Accounts,Resource Development
T1586.001,Compromise Accounts: Social Media Accounts,Resource Development
T1554,Compromise Client Software Binary,Persistence
T1584,Compromise Infrastructure,Resource Development
T1584.005,Compromise Infrastructure: Botnet,Resource Development
T1584.002,Compromise Infrastructure: DNS Server,Resource Development
T1584.001,Compromise Infrastructure: Domains,Resource Development
T1584.004,Compromise Infrastructure: Server,Resource Development
T1584.007,Compromise Infrastructure: Serverless,Resource Development
T1584.003,Compromise Infrastructure: Virtual Private Server,Resource Development
T1584.006,Compromise Infrastructure: Web Services,Resource Development
T1609,Container Administration Command,Execution
T1613,Container and Resource Discovery,Discovery
T1136,Create Account,Persistence
T1136.003,Create Account: Cloud Account,Persistence
T1136.002,Create Account: Domain Account,Persistence
T1136.001,Create Account: Local Account,Persistence
T1543,Create or Modify System Process,"Persistence, Privilege Escalation"
T1543.001,Create or Modify System Process: Launch Agent,"Persistence, Privilege Escalation"
T1543.004,Create or Modify System Process: Launch Daemon,"Persistence, Privilege Escalation"
T1543.002,Create or Modify System Process: Systemd Service,"Persistence, Privilege Escalation"
T1543.003,Create or Modify System Process: Windows Service,"Persistence, Privilege Escalation"
T1555,Credentials from Password Stores,Credential Access
T1555.003,Credentials from Password Stores: Credentials from Web Browsers,Credential Access
T1555.001,Credentials from Password Stores: Keychain,Credential Access
T1555.005,Credentials from Password Stores: Password Managers,Credential Access
T1555.002,Credentials from Password Stores: Securityd Memory,Credential Access
T1555.004,Credentials from Password Stores: Windows Credential Manager,Credential Access
T1485,Data Destruction,Impact
T1132,Data Encoding,Command and Control
T1132.002,Data Encoding: Non-Standard Encoding,Command and Control
T1132.001,Data Encoding: Standard Encoding,Command and Control
T1486,Data Encrypted for Impact,Impact
T1565,Data Manipulation,Impact
T1565.003,Data Manipulation: Runtime Data Manipulation,Impact
T1565.001,Data Manipulation: Stored Data Manipulation,Impact
T1565.002,Data Manipulation: Transmitted Data Manipulation,Impact
T1001,Data Obfuscation,Command and Control
T1001.001,Data Obfuscation: Junk Data,Command and Control
T1001.003,Data Obfuscation: Protocol Impersonation,Command and Control
T1001.002,Data Obfuscation: Steganography,Command and Control
T1074,Data Staged,Collection
T1074.001,Data Staged: Local Data Staging,Collection
T1074.002,Data Staged: Remote Data Staging,Collection
T1030,Data Transfer Size Limits,Exfiltration
T1530,Data from Cloud Storage,Collection
T1602,Data from Configuration Repository,Collection
T1602.002,Data from Configuration Repository: Network Device Configuration Dump,Collection
T1602.001,Data from Configuration Repository: SNMP (MIB Dump),Collection
T1213,Data from Information Repositories,Collection
T1213.003,Data from Information Repositories: Code Repositories,Collection
T1213.001,Data from Information Repositories: Confluence,Collection
T1213.002,Data from Information Repositories: Sharepoint,Collection
T1005,Data from Local System,Collection
T1039,Data from Network Shared Drive,Collection
T1025,Data from Removable Media,Collection
T1622,Debugger Evasion,"Defense Evasion, Discovery"
T1491,Defacement,Impact
T1491.002,Defacement: External Defacement,Impact
T1491.001,Defacement: Internal Defacement,Impact
T1140,Deobfuscate/Decode Files or Information,Defense Evasion
T1610,Deploy Container,"Defense Evasion, Execution"
T1587,Develop Capabilities,Resource Development
T1587.002,Develop Capabilities: Code Signing Certificates,Resource Development
T1587.003,Develop Capabilities: Digital Certificates,Resource Development
T1587.004,Develop Capabilities: Exploits,Resource Development
T1587.001,Develop Capabilities: Malware,Resource Development
T1652,Device Driver Discovery,Discovery
T1006,Direct Volume Access,Defense Evasion
T1561,Disk Wipe,Impact
T1561.001,Disk Wipe: Disk Content Wipe,Impact
T1561.002,Disk Wipe: Disk Structure Wipe,Impact
T1484,Domain Policy Modification,"Defense Evasion, Privilege Escalation"
T1484.002,Domain Policy Modification: Domain Trust Modification,"Defense Evasion, Privilege Escalation"
T1484.001,Domain Policy Modification: Group Policy Modification,"Defense Evasion, Privilege Escalation"
T1482,Domain Trust Discovery,Discovery
T1189,Drive-by Compromise,Initial Access
T1568,Dynamic Resolution,Command and Control
T1568.003,Dynamic Resolution: DNS Calculation,Command and Control
T1568.002,Dynamic Resolution: Domain Generation Algorithms,Command and Control
T1568.001,Dynamic Resolution: Fast Flux DNS,Command and Control
T1114,Email Collection,Collection
T1114.003,Email Collection: Email Forwarding Rule,Collection
T1114.001,Email Collection: Local Email Collection,Collection
T1114.002,Email Collection: Remote Email Collection,Collection
T1573,Encrypted Channel,Command and Control
T1573.002,Encrypted Channel: Asymmetric Cryptography,Command and Control
T1573.001,Encrypted Channel: Symmetric Cryptography,Command and Control
T1499,Endpoint Denial of Service,Impact
T1499.003,Endpoint Denial of Service: Application Exhaustion Flood,Impact
T1499.004,Endpoint Denial of Service: Application or System Exploitation,Impact
T1499.001,Endpoint Denial of Service: OS Exhaustion Flood,Impact
T1499.002,Endpoint Denial of Service: Service Exhaustion Flood,Impact
T1611,Escape to Host,Privilege Escalation
T1585,Establish Accounts,Resource Development
T1585.003,Establish Accounts: Cloud Accounts,Resource Development
T1585.002,Establish Accounts: Email Accounts,Resource Development
T1585.001,Establish Accounts: Social Media Accounts,Resource Development
T1546,Event Triggered Execution,"Persistence, Privilege Escalation"
T1546.008,Event Triggered Execution: Accessibility Features,"Persistence, Privilege Escalation"
T1546.009,Event Triggered Execution: AppCert DLLs,"Persistence, Privilege Escalation"
T1546.010,Event Triggered Execution: AppInit DLLs,"Persistence, Privilege Escalation"
T1546.011,Event Triggered Execution: Application Shimming,"Persistence, Privilege Escalation"
T1546.001,Event Triggered Execution: Change Default File Association,"Persistence, Privilege Escalation"
T1546.015,Event Triggered Execution: Component Object Model Hijacking,"Persistence, Privilege Escalation"
T1546.014,Event Triggered Execution: Emond,"Persistence, Privilege Escalation"
T1546.012,Event Triggered Execution: Image File Execution Options Injection,"Persistence, Privilege Escalation"
T1546.016,Event Triggered Execution: Installer Packages,"Persistence, Privilege Escalation"
T1546.006,Event Triggered Execution: LC_LOAD_DYLIB Addition,"Persistence, Privilege Escalation"
T1546.007,Event Triggered Execution: Netsh Helper DLL,"Persistence, Privilege Escalation"
T1546.013,Event Triggered Execution: PowerShell Profile,"Persistence, Privilege Escalation"
T1546.002,Event Triggered Execution: Screensaver,"Persistence, Privilege Escalation"
T1546.005,Event Triggered Execution: Trap,"Persistence, Privilege Escalation"
T1546.004,Event Triggered Execution: Unix Shell Configuration Modification,"Persistence, Privilege Escalation"
T1546.003,Event Triggered Execution: Windows Management Instrumentation Event Subscription,"Persistence, Privilege Escalation"
T1480,Execution Guardrails,Defense Evasion
T1480.001,Execution Guardrails: Environmental Keying,Defense Evasion
T1048,Exfiltration Over Alternative Protocol,Exfiltration
T1048.002,Exfiltration Over Alternative Protocol: Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Exfiltration
T1048.001,Exfiltration Over Alternative Protocol: Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Exfiltration
T1048.003,Exfiltration Over Alternative Protocol: Exfiltration Over Unencrypted Non-C2 Protocol,Exfiltration
T1041,Exfiltration Over C2 Channel,Exfiltration
T1011,Exfiltration Over Other Network Medium,Exfiltration
T1011.001,Exfiltration Over Other Network Medium: Exfiltration Over Bluetooth,Exfiltration
T1052,Exfiltration Over Physical Medium,Exfiltration
T1052.001,Exfiltration Over Physical Medium: Exfiltration over USB,Exfiltration
T1567,Exfiltration Over Web Service,Exfiltration
T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,Exfiltration
T1567.001,Exfiltration Over Web Service: Exfiltration to Code Repository,Exfiltration
T1567.003,Exfiltration Over Web Service: Exfiltration to Text Storage Sites,Exfiltration
T1190,Exploit Public-Facing Application,Initial Access
T1203,Exploitation for Client Execution,Execution
T1212,Exploitation for Credential Access,Credential Access
T1211,Exploitation for Defense Evasion,Defense Evasion
T1068,Exploitation for Privilege Escalation,Privilege Escalation
T1210,Exploitation of Remote Services,Lateral Movement
T1133,External Remote Services,"Initial Access, Persistence"
T1008,Fallback Channels,Command and Control
T1083,File and Directory Discovery,Discovery
T1222,File and Directory Permissions Modification,Defense Evasion
T1222.002,File and Directory Permissions Modification: Linux and Mac File and Directory Permissions Modification,Defense Evasion
T1222.001,File and Directory Permissions Modification: Windows File and Directory Permissions Modification,Defense Evasion
T1495,Firmware Corruption,Impact
T1187,Forced Authentication,Credential Access
T1606,Forge Web Credentials,Credential Access
T1606.002,Forge Web Credentials: SAML Tokens,Credential Access
T1606.001,Forge Web Credentials: Web Cookies,Credential Access
T1592,Gather Victim Host Information,Reconnaissance
T1592.004,Gather Victim Host Information: Client Configurations,Reconnaissance
T1592.003,Gather Victim Host Information: Firmware,Reconnaissance
T1592.001,Gather Victim Host Information: Hardware,Reconnaissance
T1592.002,Gather Victim Host Information: Software,Reconnaissance
T1589,Gather Victim Identity Information,Reconnaissance
T1589.001,Gather Victim Identity Information: Credentials,Reconnaissance
T1589.002,Gather Victim Identity Information: Email Addresses,Reconnaissance
T1589.003,Gather Victim Identity Information: Employee Names,Reconnaissance
T1590,Gather Victim Network Information,Reconnaissance
T1590.002,Gather Victim Network Information: DNS,Reconnaissance
T1590.001,Gather Victim Network Information: Domain Properties,Reconnaissance
T1590.005,Gather Victim Network Information: IP Addresses,Reconnaissance
T1590.006,Gather Victim Network Information: Network Security Appliances,Reconnaissance
T1590.004,Gather Victim Network Information: Network Topology,Reconnaissance
T1590.003,Gather Victim Network Information: Network Trust Dependencies,Reconnaissance
T1591,Gather Victim Org Information,Reconnaissance
T1591.002,Gather Victim Org Information: Business Relationships,Reconnaissance
T1591.001,Gather Victim Org Information: Determine Physical Locations,Reconnaissance
T1591.003,Gather Victim Org Information: Identify Business Tempo,Reconnaissance
T1591.004,Gather Victim Org Information: Identify Roles,Reconnaissance
